Market,audience,Campaign,Clicks,Cost,Impressions,fees
ARG,Adults,YouTube,88,51.13,9698,56.6443
IND,Retention,YouTube,9,3.2,378,3.442
CH,Oldies,YouTube,809,29.84,1075,33.0124
CH,Children,YouTube,260,11.2,329,12.322
CH,Adults,YouTube,211,10.66,263,11.7226
CH,Retention,YouTube,33,3.11,38,3.3421
CH,Oldies,YouTube,297,52.64,586,58.3204
CH,Children,YouTube,50,13.3,94,14.653
CH,Adults,YouTube,89,12.87,150,14.1757
CH,Retention,Google,5,1.84,7,1.9324
CH,Oldies,Facebook,218,239.59,4693,265.8349
CH,Children,YouTube,45,49.15,564,54.4465
CH,Adults,Email,63,93.16,564,103.2976
CH,Retention,YouTube,9,26.81,41,29.6491
CH,Oldies,YouTube,705,621.44,96375,689.6884
CH,Children,YouTube,62,72.93,3548,80.8423
CH,Adults,YouTube,121,169.13,7194,187.6243
CH,Retention,YouTube,2,2.01,80,2.1211
AUS,Oldies,YouTube,4267,107.78,7327,119.5258
AUS,Children,YouTube,4697,183.54,6469,203.6194
AUS,Adults,YouTube,11483,461.2,15141,511.822
AUS,Retention,YouTube,2495,102.64,3177,113.8204
PAK,Oldies,YouTube,836,200.49,2921,222.4339
PAK,Children,YouTube,2398,899.19,7353,997.9909
PAK,Adults,YouTube,1622,475.76,4521,527.9836
PAK,Retention,YouTube,158,47.38,446,52.4818
PAK,Oldies,YouTube,66,33.58,2547,37.1638
PAK,Children,YouTube,3107,1194.36,40458,1325.6296
PAK,Adults,Google,326,251.88,5901,279.4768
PAK,Retention,Facebook,81,80.56,1062,89.3116
PAK,Oldies,YouTube,7736,1493.68,799505,1657.8748
PAK,Children,Email,8258,2087.25,730723,2316.7375
PAK,Adults,Google,3804,864.15,292824,959.0965
PAK,Retention,Facebook,6,1.3,939,1.333
PAK,Oldies,YouTube,4864,3152.87,497543,3499.5757
PAK,Children,Google,417,366.56,22883,406.7716
AUS,Adults,Facebook,3364,2952.58,242960,3277.2538
AUS,Retention,YouTube,272,210.11,20009,233.1121
AUS,Oldies,Email,430,65.83,42701,72.9613
AUS,Adults,Google,186,31.74,12990,35.1214
AUS,Retention,Facebook,9,2.99,629,3.2089
RSA,Oldies,Google,220,4.22,292,4.5742
RSA,Children,Facebook,87,3.28,122,3.5308
RSA,Adults,Google,2,1.01,2,1.0111
RSA,Retention,Facebook,26,1.34,33,1.3774
RSA,Oldies,Facebook,38,4.68,139,5.0848
RSA,Children,YouTube,13,3.6,43,3.886
RSA,Adults,Email,2,1.09,7,1.0999
RSA,Retention,Email,1,1,4,1
RSA,Oldies,Email,425,230.33,40142,255.5563
RSA,Children,Email,47,25.45,2528,28.1395
RSA,Adults,Email,18,9.33,2220,10.2463
RSA,Retention,Email,2,1.15,438,1.1665
NZ,Oldies,Google,658,13.76,950,15.1636
NZ,Children,Facebook,904,30.4,1181,33.634
NZ,Retention,Email,239,10.37,296,11.4007
NZ,Oldies,Email,259,46.68,693,51.7048
NZ,Children,Email,64,14.58,254,16.0738
NZ,Adults,Email,31,6.5,88,7.105
NZ,Retention,Email,2,1.24,3,1.2664
NZ,Oldies,Email,79,28.08,2479,31.0588
NZ,Children,Email,142,61.46,3640,68.1106
NZ,Adults,Email,49,35.77,531,39.5947
NZ,Retention,Email,11,12.39,97,13.6429
NZ,Oldies,Email,4326,2081.97,638341,2310.8767
NZ,Children,Email,171,120.3,10185,133.423
NZ,Adults,Email,62,38.63,6182,42.7693
NZ,Retention,Email,27,21.56,908,23.8216
IND,Oldies,Email,1306,62.91,1923,69.7201
IND,Children,Email,550,33.48,783,37.0528
IND,Adults,Email,1080,62.21,1498,68.9431
IND,Retention,Email,141,10.78,173,11.8558
IND,Oldies,Email,636,170.65,1713,189.3115
IND,Children,Email,351,103.01,995,114.2311
IND,Adults,Email,294,101.45,579,112.4995
IND,Retention,Email,34,8,66,8.77
IND,Oldies,Email,508,220.4,8415,244.534
IND,Children,Email,630,1796.74,10993,1994.2714
IND,Oldies,Email,1040,486.06,109755,539.4166
IND,Children,Facebook,18,7.8,2417,8.548
IND,Adults,Facebook,99,47.93,11310,53.0923
IND,Retention,Facebook,4,1.56,354,1.6216
CH,Oldies,Facebook,976,49.23,1328,54.5353
CH,Children,Facebook,290,14.92,379,16.4512
CH,Adults,Facebook,260,16.53,320,18.2383
CH,Retention,Facebook,23,2.17,24,2.2987
CH,Oldies,Facebook,331,75.73,668,83.9503
CH,Children,Facebook,41,14.63,119,16.1293
CH,Adults,Facebook,152,39.44,221,43.6684
CH,Retention,Facebook,4,2.08,8,2.1988
CH,Oldies,Facebook,279,278.05,5874,308.5255
CH,Children,Facebook,49,43.76,920,48.4636
CH,Adults,Facebook,57,97.13,648,107.7043
CH,Retention,Facebook,4,9.71,41,10.6681
CH,Oldies,Facebook,843,767.67,116660,852.0037
CH,Children,Facebook,72,91.21,5051,101.1331
CH,Adults,Facebook,132,204.45,9856,226.8295
CH,Retention,Facebook,3,4.42,103,4.7962
AUS,Oldies,Facebook,4771,68.81,7766,76.2691
AUS,Children,Facebook,5623,219.29,7712,243.3019
AUS,Adults,Facebook,12364,336.58,15982,373.4938
AUS,Retention,Facebook,2706,82.48,3487,91.4428
AUS,Oldies,Facebook,940,190.94,3166,211.8334
AUS,Children,Facebook,2497,818.19,7588,908.0809
AUS,Adults,Facebook,1692,398.52,4688,442.2472
AUS,Retention,Facebook,183,47.03,540,52.0933
AUS,Oldies,Facebook,115,58.14,3152,64.4254
AUS,Children,Facebook,3248,1231.29,43899,1366.6219
AUS,Adults,Google,440,313.02,7389,347.3422
AUS,Retention,Facebook,124,122.96,1413,136.3756
AUS,Oldies,Google,11048,3245.29,1180218,3602.1619
AUS,Children,Google,3750,673.15,261596,747.0865
AUS,Adults,Google,921,127.36,74635,141.2596
AUS,Retention,Google,9,1.56,476,1.6216
AUS,Oldies,Google,5710,3374.33,613855,3745.3963
