country,user,ordernum,orderstatus,date_ordered,channel
UK,2e5cd,0e6f5,finished,"2019-01-17 00:00:00",direct
UK,45a76,1f37a,cancelled,"2019-03-04 00:00:00",google
UK,511aa,76c9e,cancelled,"2019-02-19 00:00:00",direct
UK,606e8,c04f3,finished,"2019-01-21 00:00:00",google
UK,606e8,14123,finished,"2019-04-17 00:00:00",social
UK,620bb,9d29d,finished,"2019-03-21 00:00:00",direct
UK,620bb,88fc5,finished,"2019-04-28 00:00:00",direct
UK,6e067,ad75a,cancelled,"2019-02-27 00:00:00",google
UK,6eb4c,8fa09,finished,"2019-04-26 00:00:00",social
UK,88371,5652a,finished,"2019-04-17 00:00:00",direct
UK,8db8d,3a028,finished,"2019-04-22 00:00:00",social
UK,9e9da,6f745,finished,"2019-01-14 00:00:00",direct
UK,baa97,abee2,cancelled,"2019-04-03 00:00:00",others
UK,c59df,bf5f6,finished,"2019-03-23 00:00:00",google
UK,c9bc5,cf3b2,finished,"2019-01-28 00:00:00",direct
UK,e0827,3819c,finished,"2019-04-12 00:00:00",social
UK,05192,b5d68,finished,"2019-01-21 00:00:00",direct
UK,07b11,d5c95,finished,"2019-02-10 00:00:00",direct
UK,08fd9,84978,finished,"2019-03-23 00:00:00",google
UK,39bf3,5366f,finished,"2019-05-16 00:00:00",direct
UK,3a45c,bce3e,finished,"2019-04-22 00:00:00",social
UK,3b808,34ee2,finished,"2019-04-02 00:00:00",direct
UK,42dde,93a08,finished,"2019-02-11 00:00:00",others
UK,42dde,ff211,finished,"2019-02-21 00:00:00",others
UK,42dde,a1742,finished,"2019-02-21 00:00:00",direct
UK,5064d,9c5e1,finished,"2019-03-04 00:00:00",others
UK,50873,4d4dd,finished,"2019-04-29 00:00:00",google
UK,5989e,e2b43,finished,"2019-04-30 00:00:00",others
UK,5b4b6,d1758,finished,"2019-04-19 00:00:00",direct
UK,5b685,09fc2,finished,"2019-03-12 00:00:00",direct
UK,5b685,b66c3,finished,"2019-04-11 00:00:00",social
UK,5c42b,79b43,finished,"2019-04-24 00:00:00",social
UK,5c42b,df4dd,finished,"2019-04-29 00:00:00",others
UK,959b0,707b2,finished,"2019-02-25 00:00:00",direct
UK,959b0,e9079,finished,"2019-02-25 00:00:00",others
UK,98f05,30291,cancelled,"2018-11-23 00:00:00",others
UK,a4d70,4e243,cancelled,"2019-01-12 00:00:00",google
UK,b24da,06346,finished,"2019-01-18 00:00:00",direct
